,Job Category,Job Title,Company Name,Location,Summary,Date,URL
413,Business Intelligence,Contact Center Sales and Service Senior Team Manager - Contact Centre Business,HSBC,"Kowloon City, Kowloon",Understand Business Intelligence data and be able to translate into individual team performance plans. The value of Contact Centre Business continues to grow as...,30+ days ago,https://www.indeed.hk/rc/clk?jk=354cae3cfdbb1ffd&fccid=04c9b139c84ea1b5&vjs=3
414,Business Intelligence,System Analyst/Analyst Programmer/Programmer/BA/QA,Seamatch Asia,Hong Kong,Business Analyst / Project Manager. System Analyst / Analyst Programmer / Programmer (Data Warehouse/Business Intelligence)....,30+ days ago,https://www.indeed.hk/rc/clk?jk=088251f2b94ea0ed&fccid=f4b6db984c9a7118&vjs=3
415,Business Intelligence,Project Manager/System Analyst /Business Analyst/ Programmer / Mobile Apps / Web designer/ Trainee,Seamatch Asia,Hong Kong,"Business analysis and design, user training support. Solid experience in business analysis or ERP software or project co-ordination will consider as (senior)...",,https://www.indeed.hk/rc/clk?jk=d0e216217bd1609f&fccid=f4b6db984c9a7118&vjs=3
416,Business Intelligence,IT Trainee,Hong Kong Housing Society,Hong Kong,"Serve as consultants and work closely with business units to identify business needs. Knowledge of contemporary information technology including Workflow,...",,https://www.indeed.hk/rc/clk?jk=1980498ab42b71c0&fccid=c80693056523f9ce&vjs=3
417,Business Intelligence,Senior Business Strategy Manager/ Business Strategy Manager (Analytics Strategy),Bank of China (Hong Kong),Hong Kong,"At least 4 years’ experience in banking, insurance, consulting, or retail business, with proven track record and exposure in CRM system or business intelligence...",,https://www.indeed.hk/rc/clk?jk=d22e3c3ad5b6c96d&fccid=82a924ef8a1e6217&vjs=3
418,Business Intelligence,IT Consutlant – Deals Advisory - Hong Kong,PwC,Hong Kong,Knowledge in business intelligence platforms (e.g. Review business models of companies and perform financial analysis;...,,https://www.indeed.hk/rc/clk?jk=be23e9786e7a4188&fccid=5e964c4afc56b180&vjs=3
424,Business Intelligence,"Tech Consultant HRIS - Advisory, Technology Consulting, HK",PwC,Hong Kong,"Experience in other HR Technology e.g. Peoplesoft HCM, Oracle, SAP, Hyperion etc., and specialist knowledge of at least one of Payroll, Talent Management, or HR...",30+ days ago,https://www.indeed.hk/rc/clk?jk=f53e6253089447a0&fccid=5e964c4afc56b180&vjs=3
425,Business Intelligence,Manager – API services,AXA General Insurance,Hong Kong,Strong analytical capability and skills related to business intelligence (i.e. Around 7 years of proven leadership and Business Intelligence experience in the...,30+ days ago,https://www.indeed.hk/rc/clk?jk=a6392cfc5c83fd2a&fccid=753062d67d31c43a&vjs=3
426,Business Intelligence,Marketing Executive/ Marketing Assistant,Cluster Technology Ltd,Hong Kong,"Strong business sense; Good knowledge of HPC, Cloud Computing, Internet Applications, Business Intelligence and related areas is PLUS;...",30+ days ago,https://www.indeed.hk/rc/clk?jk=16e9d0a9adb153fa&fccid=f1943ec5b4031bab&vjs=3
427,Business Intelligence,Analyst Programmer / System Analyst (Mobile / Data Warehouse),Tech Search C&E Ltd,Hong Kong,Knowledge in Oracle business intelligence tools is an advantage. A global bank seeks IT professionals to join the application development and support team....,30+ days ago,https://www.indeed.hk/company/Tech-Search-Consulting-&-Engineering-Limited/jobs/Analyst-Programmer-127c6cc21220c327?fccid=13a176cfbbfc77a3&vjs=3
